Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2013	2013/15266	ODAK KÝTLE SEÇÝMÝ ÝLE ANALÝTÝK MÜÞTERÝ HEDEFLEME	MUSTAFA KIRAÇ				Bu patent müþteri verisine sahip kurumlarýn, iç þirket verilerini kullanarak reklam ve teklif önerilerini iletmek için en uygun alt müþteri setini seçmelerine yardýmcý olacak yöntemleri içerir. Bir reklam hedefleme süreci a) müþteri kriter belirleme, b) reklam yayýnlama, c) reklam / teklif geri dönüþlerini toplama þeklindedir. Bu sürecin ilk aþamasýnda iletiþim kurulacak müþterilerin seçilmesi süresinde uzmanlarýn belirlediði müþteri kriterlerine baþvurulur. Örneðin yaþ-cinsiyet-meslek gibi temel kriterler belirlenir. Çoðu zaman belirlenen kitlenin içerdiði müþteri sayýsý ya çok fazla ya da çok az olmaktadýr. Optimum müþteri sayýsýnýn belirlenmesi için bu buluþta anlatýlacak yöntem geliþtirilmiþtir.
2013	2013/15319	FÝRMA TAHSÝLATLARINA ARACILIK ETME	OKAN CELEP-ELÇÝN ÞEBNEM SÖKMEN ÖREN-MURAT DERMAN				 Bu fikir, firmalarýn, bankalara geliþtirme yaptýrmadan, fatura tahsilatlarýna aracýlýk eden bir sistemi içermektedir. Bu sistem ayrýca banka-firma mutabakatlarýna aracýlýk edecektir ve talimat yönetimi sunacaktýr.
2013	2013/15356	KAYIP TELEFONLAR ÝÇÝN SMS ÝLE AKTÝFLENEN KÝLÝT EKRANI	FATÝH SÖKMEN				 Bu buluþta mobil telefonlarýn/terminallerin kaybolma durumlarýnda SMS ile aktive edilecek bir kilit ekranýnýn gösterilmesi amaçlanmaktadýr.Kilit ekranýnda telefon sahibine ulaþýlmasý için gerekli bilgiler bulunur ve istenirse tekrar SMS ile bu kilit ekraný kaldýrýlabilir. Bahsedilen kilit ekraný kaldýrýlamaz olup sadece sahibine ait ulaþým bilgilerini içerir.
2013	2013/15439	THREAD'LERÝN TPS VE MEMORY KONTROLLERÝ ÝLE OPTÝMÝZE EDÝLMESÝ	AHMET CEM AYTÝMUR-FEYZULLAH HAKAN GÜLER				"Bilgi ve iletiþim teknoloji’lerinde flow (akýþ) niteliðinde olan yapýlarda performans önemli bir kriterdir. Performans’ý arttýrmanýn yöntemlerinden biri de flow üzerinde veriyi (data)  thread’lere (iþ parçacýklarý) daðýtmaktýr. Buluþun amacý, thread  sayýlarýnýn yazýlýmda deðiþiklik yapmadan ayarlanabilir kýlarak performans üzerinde olumlu  etki yaratmasýný saðlamak, istenen tps (transaction per second - hareket/sn) deðerlerine ulaþmak ya da istenen tps deðerlerinde sabitleyebilmek, ayrýca çalýþan thread’lerin kullandýðý memory (hafýza) deðerlerinin kontrol edilmesi ve memory kritik bir seviyeye ulaþtýðýnda thread’lerin çökmesine engel olarak bir alarm mekanizmasý ile bildirimde bulunmasýný saðlamaktýr.
Yöntemi aþaðýdaki gibi üç ana gruba ayýrabiliriz:
1- Kaynaktan (file, database, web service, socket, vs.) veriyi, thread sayýlarý ayarlanabilir olan birbirinden baðýmsýz thread’lerle okuyabilmek ( Bu yapýya Reader adýný verelim.)
2- InputThreads tarafýndan okunan verileri, tps ve memory kontrolü mekanizmalarý içeren  farklý iþ modelleri ile süreci iþleyecek olan thread’lere (OutputThreads) daðýtmak. (Bu yapýya Distributor adýný verelim.)
3- DistributorThread tarafýndan verilen datayý iþ süreçlerine göre iþleyecek olan threadler  (Bu yapýya Processor adýný verelim.)
 Bütün bu adýmlarýn development (yazýlým geliþtirme) ihtiyacý gerektirmeden çalýþma esnasýnda dahi ayarlanabilir bir yapý olarak sunulmasý.
"
2013	2013/15443	DAHA VERÝMLÝ ÇOKLU ORTAM SAYISAL FORMAT DÖNÜÞÜM MOTORU	ERDEM GÜNAY				Çoklu ortam sayýsal format dönüþümü genel olarak resim, müzik ve video içeriklerinin farklý teknik özelliklere sahip cihazlara uyumlu hale getirilmesi iþleminin genel bir ifadesidir. Mobil telefon cihazlarý, diz üstü ve tablet bilgisayarlarý destekledikleri ve oynatabildikleri içerik türleri, ekran çözünürlükleri bakýmýndan çok farklý teknik özelliklere sahiptirler. Bununla birlikte içerik tipleri de kendi aralarýnda format ve kodlama algoritmalarý bakýmýndan farklýlýklar göstermektedir. Tüm bu cihazlar ve içerik formatlarý arasýndaki farklýlýklar cihazlar arasý çoklu ortam içerik paylaþýmý iþlemini zorlaþtýran ve sorunlara sebep olan unsurlardýr. Katma deðerli servisler sunan mobil telekom operatörleri yukarýdaki farklýlýklardan doðabilecek sorunlarý aþmak için çoklu ortam sayýsal format dönüþüm çözümlerine ihtiyaç duymaktadýrlar. Bu buluþta bir dönüþüm motorunun kalite ve performperformans bakýmýndan daha verimli olabilmesi için gerekli algoritmalar tarif edilecektir.
2013	2013/15449	ÇAÐRI KAPANMA SEBEPLERÝ ANALÝZ EDÝLEREK HEM RAKÝP HEM DE DAHÝLÝ MÜÞTERÝ MEMNUNÝYETÝNÝ ÖLÇME SÝSTEM VE YÖNTEMÝ	KORAY ERGÜN				Buluþ, telekominikasyon sektörüne konu olan müþterilerin memnuniyetine dair veri toplayabilme odaklýdýr. Telekominikasyon þirketleri kendi aðlarýnda gerçekleþen çaðrýlara istinaden üreyen konuþma detay kayýtlarýný (CDR) depolayabilmektedirler. Oluþan bu kayýtlardaki temel bilgilerenden birisi de çaðrý kapanma sebebidir. Çaðrý kapanma sebepleri taraflardan birinin isteðine baðlý sonlandýrma olabildiði gibi çekim gücü kalitesinin yetersizliði gibi operatör kaynaklý da olabilir. Çaðrýnýn bu þekilde taraflarýn istemi dýþýnda sonlanmasý memnuniyetsizlik sebebidir. Buluþun amacý, memnuniyetsizlik yaratacak sebeplerden ötürü oluþan çaðrý kapanmalarý analiz ederek müþteri memnuniyetine dair veri toplayabilme yöntem ve sistemi sunmaktýr. Böylelikle dahili müþterinin olasý memnuniyetsizliði telafi etmek için erken önlemler alýnabilir. Dahasý rakip þirketle çalýþan ama memnun olmayan müþterilerin tespiti yapýlarak kendileri ile çalýþmasý için ikna edilmek istenen müþteri kitlesinin doðru belirleSÝ
2013	2013/15451	HÝYERARÞÝK REGRESYON YÖNTEMÝ ÝLE ÇAÐRI MERKEZÝ VARDÝYA PLANLAMA 	MUSTAFA KIRAÇ				 Bu buluþ ile çaðrý merkezine gelen çaðrýlarýn kompleks müþteri ve çaðrý merkezi kriterleri ile ayýklanarak gelecek günler için çaðrý sayýsý ve süresinin planlanabilmesi saðlanmýþtýr. Sayý ve sürelerin doðru þekilde önceden tahminlenmesi hangi vardiyaya hangi çalýþanlarýn atanacaðýnýn önceden belirlenerek verimliliðin saðlanmasý için önemlidir.
2013	2013/15461	GELEN/GÝDEN ARAMALARDA KULAKLIÐI ÇIKARMADAN DEVRE DIÞI BIRAKMA	TUBA ÇAKIR				Kulaklýk ile müzik dinleme ya da video izleme sýrasýnda bir arama geldiðinde kullanýcýlar kulaklýðýn mikrofonsuz olmasý nedeniyle aramayý yanýtlamadan önce kulaklýðý çýkarýp aramayý yanýtlýyor ve arama sonrasý tekrar kulaklýklarýný takýyorlar. Ayný þekilde kendileri de bir arama yapacaklarý zaman bu adýmlarý izliyorlar. Ya da kulaklýk mikrofonlu olsa bile normal konuþmayý tercih edebiliyorlar. Þu anki durumda 1.kulaklýðý çýkar, 2.görüþme yap, 3.kulaklýðý tekrar tak, 4.müzik/vieoyu yeniden baþlat adýmlarý kullanýmý zorlaþtýrýyor. Bizim çözümümüzle telefonda kulaklýk takýlý iken bir arama geldiðinde ya da arama yapýldýðýnda kullanýcýlar kulaklýðý çýkarmadan sanki kulaklýk yokmuþ gibi görüþmelerini normal (standart) olarak yapabilecekler. Çözüm 1: Arama geldiði anda Cevapla seçilince bir popup ile a)kulaklýk b)telefon seçenekleri sunulur. Çözüm 2: Görüþme baþladýðý anda çýkan ekranda kulaklýk on/off butonu ile kullanýcý görüþme seçeneðini seçer.
2013	2013/15464	BÜTÜNSEL ÜCRETLENDÝRME TEST OTOMASYON SÝSTEMÝ	KENAN ÞEN				BÜTOS; Akýllý að üzerindeki tüm trafik türleri için; Servisin saðlýklý bir þekilde saðlanabildiðini ve Servise ait ücretlendirmenin hatasýz yapýldýðýný gerçek zamanlý olarak saptayabilecek bir platformdur. BÜTOS ile; 1)Çaðrýya ait tüm akýþ kontrol edilebilecek. 2)Sinyalleþmeler kesinlikle simüle edilMEyecek. 3)Trafik gerçek að elemanlarý üzerinden kurulacak. BÜTOS platformunun öne çýkan faydalarý; 1)Soyutlama: Teknik detaylar son kullanýcýdan soyutlanarak her profile hitap eden bir altyapý oluþturulacak. 2)Kütüphaneleþtirme: Testler kütüphaneleþtirilebilecek ve tecrübelerin kalýcý ortamlara aktarýmý mümkün olacak. 3)Gerçek Müþteri Deneyimi: Çaðrýlar gerçek altyapýlar kullanýlarak gerçekleþeceði için müþteri deneyimi aynen gerçeklenebilecek. 4)Sýfýr Adam/Gün: 4 Adam/Ay gereken kontroller 0 Adam/1 Gece zaman alacak. 5)Unit Testing: Eklenen her unit test sistemi kaçaklara karþý bariyerlemiþ olacak. Mevcut kurgularýn etkilenip etkilenmediði otomatik olarak kontrol edilebilecek.
2013	2013/15469	AWM (AUDIOWATERMARK) TEKNOLOJÝSÝ ÝLE P2P HABERLEÞMESÝ	BARIÞ YAVUZ				AWM teknolojisinin bir NFC teknolojisi gibi yakýn alan haberleþmesi alanýnda kullanýlarak P2P haberleþmeler ve senaryorlarda kullanýlmasýný bu patentin konusudur. Dokümanda önerilen buluþ, bu tip NFC uygulamalarýnýn genelleþtirilmesi ile sýnýrlý deðildir. Hücresel telsiz iletiþim sistemlerinde birçok farklý katma deðerli servisin sunulmasýnda kullanýlabilir. Örnekler aþaðýda detaylandýrýlmaktadýr. Belirtilmelidir ki, uygulamalar aþaðýdaki örneklerle sýnýrlý deðildir. 1) AWM iþareti içersine kullanýcý tarafýndan Dinamik Bilgi Ekleme (SES yada YAZI komutlarý ile) ile kredi-para Yükleme Uygulamasý 2) AWM iþareti içerisine kullanýcý cep telefonundaki AWM client?ý tarafýndan þifrelenmiþ olarak eklenen MSISDN ve AWM þifresinin alýcýya iletilmesi ve mobil operatör tarafýndan yapýlan doðrulama ile promosyon/ürün/video eklentilerinin telefona gönderilmesi 3) Otomatlardan ürün/bilet almak için AWM kullanýmý 4) Ýki cep telefonu arasýnda favori ya da kontak bilgilerinin paylaþmasý
2013	2013/15473	EVENT BASED SÝSTEMLERDE SENARYO ÖNCELÝKLENDÝRME	DEMET AYVAZ-SEDAT KULDUK-SELÝNA KAYA				Event based sistemlerde ayni event source'a sahip kesisen senaryolardan yapilan gönderimler arasinda bir önceliklendirme yapilmasina olanak saglanarak gelir hedefli ya da önceliði olan gönderimlerin aboneye öncelikli olarak iletilmesinin saðlamasý.
2013	2013/15482	MAKÝNA ÖÐRENMESÝ YAKLAÞIMI ÝLE MÜÞTERÝ ÞÝKAYETLERÝNÝN ÖNCEDEN BELÝRLENMESÝ	ONUR SARKAN-ONUR ÖNEÞ-EMRE YAHÞÝ-MERT ÞENGÜNER				Bu patent baþvurusu kapsamýnda GSM þebekelerinde oluþan problemlerin erken dönemde müþteri þikayetlerine neden olmadan fark edilmesini saðlayan bir makine öðrenmesi çözüm mimarisi önerilmektedir. Müþteri þikayetlerinin oluþmadan belirlenmesi sayesinde verilen hizmetin kalitesi ve müþteri memnuniyeti önemli ölçüde artabilecektir. Bu çözüm kapsamýnda müþteri þikayetlerinin gerçekleþmeden tahmin edilmesi problemi makine öðrenmesi literatüründeki sýnýflandýrma iþlemi olarak kabul edilmiþtir. Aþaðýdaki tarihçe girdiler ile üretilen sýnýflandýrma modeline güncel bilgilerin sokulmasý ile müþteri þikayetleri oluþmadan tahmin edilmektedir: ? Müþteri þikayetleri tarihçesi ? Þebeke performans belirteçleri (KPI) tarihçesi ? Ýþ emirleri tarihçesi ? Arýza ve bakým çalýþmalarý tarihçesi ? Þebeke alarmlarý tarihçesi ? Þebeke konfigürasyon bilgileri tarihçesi
2013	2013/15524	SIM SERVÝSLERÝ KULLANIMINA YÖNELÝK ÜCRETLENDÝRME YÖNTEMÝ	KEMAL BURAK YÖNDEM-RAHMÝ CEM ÇEVÝKBAÞ				Akýllý kartlarýn bir türevi olan SIM kartlar temel olarak GSM sisteminde güvenli kimlik doðrulamayý saðlamaktadýrlar. Telefon içerisinde güvenli bir ortam sunmalarý ve üzerlerinde yazýlým çalýþtýrabilmeleri sayesinde son zamanlarda GSM haricindeki güvenlik gerektiren uygulamalar (Europay-Mastercard-Visa payment, Ulaþým, sadakat, Mobil Ýmza) için de kullanýlmaya baþlamýþlardýr. SIM içerisindeki bu tip uygulamalarýn temel servislerini telefon uygulamalarýna arayüz olarak sunmasý teknik anlamda mümkündür. Örneðin doküman imzalama yapan akýllý telefon uygulamasýnýn imzalama hizmetini SIM uygulamasýndan almasý mümkün olmaktadýr. Önerilen yöntemle SIM içerisindeki uygulamalarýn sunduðu servislerin telefon uygulamalarý tarafýndan kullanýlmasý sýrasýnda iþlem baþýna ücretlendirme yapýlmasý mümkün olacaktýr.
2013	2013/15529	3G DESTEÐÝ SAÐLAYAN TABLET KILIFI 	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Gün geçtikçe artan tablet kullanýmý beraberinde çeþitli ihtiyaçlarý da getirmektedir. Tablet kullanýcýlarýn en önem verdiði özelliklerin baþýnda tabletin mobil bir cihaz olmasý nedeniyle 3G ile internet eriþimi gelmektedir. Bilindiði üzere bugün piyasada bulunan bir çok tablette GSM desteði bulunmamaktadýr. Bu buluþ, tablet kullanýcýlarýnýn 3G ile internete eriþim sorununu/ihtiyacýný, tablete, kýlýf þeklindeki bir yapýnýn eklenmesiyle çözmeyi/gidermeyi amaçlamaktadýr. GSM desteði olan tabletlerin fiyatý, olmayanlara göre oldukça yüksektir. GSM desteði saðlayan kýlýf sayesinde tabletin 3G ile internete eriþmesi çok daha düþük maliyetlerde gerçekleþtirilmektedir. 3G desteðinin yaný sýra tablet kullanýcýlarýnýn en çok þikayetçi olduðu konulardan bir diðeri olan þarj süresi problemi ve tabletlerin sýnýrlý depolama alanýna sahip olmasý sorunu da bu buluþta bahsedilen kýlýf sayesinde çözülmektedir.
2013	2013/15536	ACÝL DURUMLARDA SÜREÇ FARKLILIÐINI ALGILAYABÝLEN VE GEREKLÝ BÝRÝMLERÝ BÝLGÝLENDÝREN CÝHAZ	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Acil durumlarda, süreç farkýndalýðý ile algýlayabilen ve gerekli birimleri bilgilendiren aygýt. Uygulama kapsamýnda insan bedenine ya da çeþitli giyilebilir ekipmanlara yerleþtrmeye uyumlu ve süreç farkýndalýðý olan akýllý bir aygýt tanýmlanmaktadýr. Aygýt bünyesinde dokuz eksenli bir hareket algýlayýsýcýna ek olarak gps ve haberleþme üniteleri barýndýrmaktadýr. Dokuz eksenli hareket algýlayýcýsýnda, üç eksenli ivmeölçer, üç eksenli gyroscope ve üç eksenli magnetometer yer almaktadýr. Bu algýlayýcýlardan gelen veriler sensör füzyonuna tabi tutularak, hareketin tam bir profili çýkarýlacaktýr. Böylelikle hareket sýnýflandýrýlacaktýr. Deðerlerde anormallik olup olmadýðý kontrol edilecektir. GPS sayesinde kulanýcýnýn konumu, hem iç hem dýþ mekanda takip edilebilecektir. Olasý kaza anýnda haberleþme ünitesi devreye girerek kaza karakteristiði ve konumu gerekli birimlere bluetooth ile eþlenmiþ telefon aracýlýðýyla e-mail, SMS, VoIP ile bildirilecektir.
2013	2013/15537	KULLANICI ARAYÜZÜ OLMAYAN/KISITLI OLAN CÝHAZLAR ÝÇÝN KOLAY VE GÜVENLÝ EÞLEÞTÝRME YÖNTEMÝ	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Uygulama kapsamýnda arayüzü kýsýtlý veya olmayan cihazlarýn kolayca eþleþtirilmesini saðlamaktadýr. Buluþ, akýllý telefon uygulamasý olup eþlenmeyi bekleyen cihazlarý tanýyarak eþlenecekleri aðlara güvenli ve kolayca baðlanmalarý için gerekli doðrulama iþlemlerini son kullanýcý yerine otomatik bir þekilde yapar.
2013	2013/15559	TEKERLEKLÝ SANDALYE KULLANAN KÝÞÝLERÝN DÜÞME DURUMUNU SÜREÇ FARKINDALIÐI ÝLE ALGILAYABÝLEN VE ALARM ÜRETEN SÝSTEM	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Uygulama kapsamýnda, tüm tekerlekli sandalyelerle uyumlu ve süreç farkýndalýðý olan bir akýllý yastýk tanýmlanmaktadýr. Yastýk, bünyesinde dokuz eksenli bir hareket algýlayýcýsýna ek olarak bir basýnç sensörü, bir sýcaklýk sensörü, bir gaz sensörü, GPS ve haberleþme ünitelerini barýndýrmaktadýr. Dokuz eksenli hareket algýlatýcýsýnda, üç eksenli ivmeölçer, üç eksenli gyroscope ve üç eksenli magnetometer yer almaktadýr. Bu algýlayýcýlardan gelen veriler sensör füzyonuna tabi tutularak, hareketin tam bir profili çýkarýlmakta ve basýnç sensöründen alýnan bilgi ile birlikte hareket sýnýflandýrýlmaktadýr. Sýcaklýk ve gaz sensörleri ile ortamýn fiziksel koþullarý modellenerek riskli durumlar detekte edilebilmektedir. Basýnç algýlayýcýsý sayesinde minder üzerinde birinin olup olmadýðý anlaþýlabilmektedir. GPS sayesinde kullanýcýnýn konumu, hem iç hem de dýþ mekanda takip edilebilmektedir.
2013	2013/15560	ÖÐRENEN BÝR SÝSTEM VE KARAR AÐACI ANALÝZÝ KULLANILARAK UYGUN ABONELÝK ÖNERÝMÝ YAPAN BÝR YÖNTEM VE SÝSTEM	GÖZDE KAYMAZ        CANER KURTUL				Aboneye en uygun abonelik paketine karar veren ve farklý kanallar ile bu aboneliði öneren sistemdir. Aboneye en son dokunulan tarih ve zaman, ve abonenin izin bilgileri de gözetilerek abone bir dizi kontrolden geçirilir. Karar aðacýnýn her bir kontrol düðümü dinamik olarak akýllý bir sistem ile güncellenebilir. Öðrenen sistem, aboneye yapýlan önerimler ve abonenin tepkilerinden beslenerek, karar aðacýný modifiye eder. Karar aðacýndaki kontrolleri geçen aboneye en uygun abonelik farklý kanallar yardýmý ile yapýlýr.
2013	2013/15563	ZIGBEE AÐLARI ÝÇÝN CÝHAZLARIN UZAKTAN EKLENEBÝLMESÝNÝ SAÐLAYAN SÝSTEM	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Günümüzde cihazlarýn akýllý hale getirilmesi ve uzaktan kablosuz þekilde kontrol edilmesi büyük önem taþýmaktadýr. Bu süreçte ise kablosuz duyarga aðlarý ve makineler arasý iletiþim teknolojileri çok büyük bir yol kat etmiþtir. Kablosuz duyarga aðlara örnek olarak ev otomasyonu, tarým, sýnýr güvenliði, senkron aydýnlatma sistemleri vb. sistemler verilebilir. Bu sistemlerde cihazlar kendi aralarýnda önceden tanýmlanmýþ olan görevleri yapar ve sistem tarafýndan istenilen bilgiler aðda bulunan Koordinatör cihazý ile sunucuya GSM veya Ethernet gibi baðlantýlar ile aktarýr. Günümüzde en çok kullanýlan ve en popüler kablosuz duyarga að protokollerinden biri ZigBee protokolüdür. Bu protokol IEEE 802.15.4 standardýný kullanmaktadýr. Bu standardýn 2.4 GHz?de (ISM bandýnda) lisanssýz bir þekilde yayýn yapmasýndan dolayý çok tercih edilmektedir.
2013	2013/15567	GÜVENLÝ ARAÇ PLATFORMU	ALÝ YÜKSEL-BARIÞ YAVUZ				Araçlara yerleþtirilecek cihazlar ile sürücülerin aktivitelerinin izlenerek gsm üstünden bilgilerin servera gönderildiði ve bu bilgiler ile çeþitli analizlerin yapýldýðý, bireysel ve kurumsal servislerin verilebildiði bir platformdur.
2013	2013/15595	KIZILÖTESÝ LEDLE ÇALIÞAN OYUN BÝLEKLÝÐÝ 	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Uygulama kapsamýnda, IR ünite barýndýran tüm oyun konsollarý ile uyumlu ve kimlik farkýndalýðý olan bir akýllý bir IR bileklik tanýmlanmaktadýr. Buluþ, bünyesinde IR haberleþme ünitesine ek olarak profil ve kimlik bilgilerini barýndýran, depolayan bir üniteye de sahiptir. Oyun konsollarýnda, kontrolörlerin, kullanýcý kimliklerine göre deðil de, kendi kimliklerine göre oyun profili saðlamalarý, konsolun kullanýcýsýnýn deðiþtiði her durumda yeniden profil seçimi veya oluþturmasý gerektirmektedir. Kimlik bilgisini barýndýran ve IR üzerinden paylaþan bileklik sayesinde, oyun profilleri otomatik olarak kiþiye özel yüklenebilmektedir. Ayrýca bileklik, kullanýcýnýn oyunla olan etkileþimini takip ederek, kullanýcýya kullaným alýþkanlýklarý ve istatistikleri hakkýnda bilgiler sunabilmektedir. Kýzýlötesi teknolojisi, alternatiflerine göre çok çok ucuz bir teknoloji olduðundan, buluþ, ihtiyacý çok ekonomik þekilde karþýlamaktadýr.
2013	2013/15602	BÝR SUPERVISED WIFI KONUM TESPÝT YÖNTEMÝ	KAZIM UMUT AÞKIN				Kapali bir alandaki wifi sinyallerinin fingerprinting yöntemi ile belirli paternlere uyanlarini kullanarak kiþilerin o alandaki konumlarini tespit etmeye calisan ve bazi sinirlandirma yöntemlerini de kullanarak kendi kendini güncelleyebilen bir wifi indoor tespit sistemidir.
2013	2013/15609	AKILLI HEDEF KÝTLE SEÇÝM YÖNTEMÝ VE SÝSTEMÝ	MUSTAFA ESEN TUNA				Bu yöntem ve sistem ile belirli kampanya tanýmlarý için otomatik ve interaktif olarak hedef kitle seçilmektedir. Kampanyalar belirli bir ürün, servis veya tanýtýmý kabul etmeye en eðilimli abonelere (müþterilere) yapýlmakta, böylelikle yüksek kabul oranlarý dolayýsýyla gelir ve fayda elde edilmektedir. Kabul eðiliminin doðru tahmin edilmesi ile 1. Sýnýrlý sayýdaki kampanya teklifleri kabul etmesi en olasý abonelere ulaþtýrýlarak yüksek oranda geri dönüþ saðlanmaktadýr. 2. Kendi ürün veya servislerini deðil de kurumsal üçüncü þahýslara hizmet veren pazarlamacýlar yüksek oranda dönüþ aldýklarýnda müþterileri tarafýndan tercih edilen aracý kurum olmaktadýrlar.
2013	2013/15610	T SERÝSÝ TELEFONLAR ÝÇÝN YENÝ DONANIMSAL ÖZELLÝKLER GETÝREN KAPAK	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				Turkcell markasý altýnda satýlan T serisi cep telefonlarý, yurt içinde geniþ bir pazar payýna sahiptir. Bu buluþta, T serisi cep telefonlarýnýn daha zengin bir donanýma ve daha geniþ özelliklere sahip olmasý amacý ile arka kapaklarýnýn modüler hale getirilip çeþitli kablosuz haberleþme protokollerinin desteklenmesi hedeflenmiþtir. Bu modüler yapý sayesinde, telefon, farklý frekans bantlarýnda yayýn yapan farklý haberleþme protokollerinin kullanýlmasýna olanak saðlayacaktýr. Örnek olarak IEEE 802.15.4 standartý ile tanýmlanan ZigBee protokolü gösterilebilir.
2013	2013/15626	BÝRBÝRÝNE EKLENEBÝLEN VE YENÝ ÖZELLÝKLER GETÝREN TABLET KILIF SÝSTEMÝ	MEHMET EMÝN ÖZGÜL-KAMÝL ERMAN-CEM AYYILDIZ-TUNCER ÇOLAK-GÝRAY YILLIKÇI-ÖZEN ÖZKAYA-SEYED MOHSEN MOUSAVI				 Tasarlanan kýlýf, tablet kullanýcýlarýna standart bir interface sunarak 3G ile internet eriþimi, wi-fi, ekstra depolama alaný, ekstra batarya gibi özellikleri tablete saðlamaktadýr. Bir örnekle açýklayacak olursak, 3G desteði olmayan bir tablet, bahsedilen kýlýfýn saðladýðý standart interface sayesinde arkasýna takýlan modül ile 3G internet baðlantýsý kullanabilir. Kýlýfýn saðladýðý en büyük avantaj geliþen tablet teknolojisiyle ortaya çýkan tüm yeni özellikleri bu þekilde tablete ekleyebilmektir.
2013	2013/15651	ÇOKLU ORTAM DÖNÜÞÜM MOTORU SUNUCULARI ÝÇÝN OTOMASYON TEST ARACI	ERDEM GÜNAY				 Bu buluþta bir dönüþüm motoru sunucu uygulamasýnýn performans, kalite ve doðruluk bakýmýndan test edilebilmesini saðlayan test otomasyon aracýnýn sahip olmasý gereken özellikleri tarif edilecektir.
2013	2013/15654	KAYNAKTAN BAÐIMSIZ VERÝ TANIMLAMA VE SORGULAMA YÖNTEMÝ VE SÝSTEMÝ	MUSTAFA ESEN TUNA				Veri madenciliði uygulamalarý veriye eriþmek ve veriyi sorgulamak için mevcut veri þemasýna göre geliþtirilmektedirler. Veri tabanýndaki kolon isimleri kullanýcý tarafýnda anlamlý olmamakta, kolon deðerleri ise kodlanmýþ olarak yazýldýðýndan bu deðerlerin kullanýcý veya uygulama tarafýndan çevrimi gerekmektedir. Þemadaki deðiþiklikler uygulamanýn hata almasýna ve çalýþmamasýna sebep olmaktadýr. Bu buluþ kullanýcý uygulamasý ve veri tabaný arasýnda kolon isimleri ve deðer kodlarý otomatik olarak çevirmektedir. Çevrimci sayesinde hem þema deðiþiklikleri uygulamaya yansýmayacak, hem de uygulamanýn ihtiyacýna göre tanýmlanan ?alana özel dil? (AÖD) ile SQL ve benzeri sorgu dillerine otomatik çeviri yapýlabilecektir. Sistemin bir avantajý da kaynak baðýmsýz otomatik kontekst duyarlý yazým tamamlama ve anýnda formatlanmýþ gösterim saðlamasýdýr. Sorgu cümlecikleri yazýlýrken kelimenin geri kalaný otomatik olarak tamamlanmakta veya kelimenin kalan kýsmý için alternatifler gösterilmektedir.
2013	2013/15660	YURTDIÞINDAKÝ ABONELERE, USSD VEYA SMS ÝLE ÇAÐRI BAÞLATMA HÝZMETÝ VEREN PLATFORMUN AKIÞINA ÝLÝÞKÝN YÖNTEM	ÝSMAÝL ÖZKAN				Prepaid hat sahipleri, bulunduklarý ülkede Camel?ý destekleyen þebeke bulunmamasý durumunda veya bulunduðu ülkeden arama ücretinin yüksek olmasý nedeniyle cep telefonundan çaðrý yap(a)mamaktadýr. Benzer þekilde faturalý hat sahipleri, bulunduðu ülkeden arama ücretinin yüksek olmasý nedeniyle cep telefonundan çaðrý yapmamaktadýr. Bu buluþ, yurt dýþýndaki abonelerin (prepaid ve faturalý hat sahipleri), ussd ve sms kanalý üzerinden herhangi bir numaraya doðru, çaðrý baþlatmak için geliþtirilen platformun (callback roaming) akýþýna iliþkin bir yöntem içermektedir. Callback Roaming platformunun temel özellikleri ? Ussd ile çaðrý baþlatma imkaný ? Ussd desteklemeyen þebekelerde sms ile çaðrý baþlatma ? Lokasyon bazlý ücretlendirme ? Yurtiçi ve yurtdýþýndaki herhangi bir numarayý arayabilme ? Prepaid hatlarýn gerçek zamanda ücretlendirilmesi
